,Film,Producer(s),Production Company(s),Winner,year,year_simple,Edition,Budget,Budget_converted_to_USD,Detail URL,Wiki URL
297,Dog Day Afternoon,"Martin Bregman, Martin Elfand",Warner Bros.,False,1975  (48th),1975,48,$1.8 million,1800000,http://oscars.yipitdata.com/films/Dog_Day_Afternoon,http://en.wikipedia.org/wiki/Dog_Day_Afternoon
298,Jaws,Richard D. Zanuck and David Brown,Universal,False,1975  (48th),1975,48,$9 million,9000000,http://oscars.yipitdata.com/films/Jaws_(film),http://en.wikipedia.org/wiki/Jaws_(film)
299,Nashville,Robert Altman,Paramount,False,1975  (48th),1975,48,$2.2 million,2200000,http://oscars.yipitdata.com/films/Nashville_(film),http://en.wikipedia.org/wiki/Nashville_(film)
300,Rocky,"Irwin Winkler , Robert Chartoff",United Artists,True,1976  (49th),1976,49,$1.1 million,1100000,http://oscars.yipitdata.com/films/Rocky,http://en.wikipedia.org/wiki/Rocky
301,All the President's Men,Walter Coblenz,Warner Bros.,False,1976  (49th),1976,49,$8.5 million,8500000,http://oscars.yipitdata.com/films/All_the_President%2527s_Men_(film),http://en.wikipedia.org/wiki/All_the_President%27s_Men_(film)
302,Bound for Glory,"Robert F. Blumofe, Harold Leventhal",United Artists,False,1976  (49th),1976,49,,0,http://oscars.yipitdata.com/films/Bound_for_Glory_(film),http://en.wikipedia.org/wiki/Bound_for_Glory_(film)
303,Network,Howard Gottfried,"Metro-Goldwyn-Mayer, United Artists",False,1976  (49th),1976,49,$3.8 million,3800000,http://oscars.yipitdata.com/films/Network_(film),http://en.wikipedia.org/wiki/Network_(film)
304,Taxi Driver,"Michael Phillips , Julia Phillips",Columbia,False,1976  (49th),1976,49,$1.3 million,1300000,http://oscars.yipitdata.com/films/Taxi_Driver,http://en.wikipedia.org/wiki/Taxi_Driver
305,Annie Hall,Charles H. Joffe,United Artists,True,1977  (50th),1977,50,$4 million,4000000,http://oscars.yipitdata.com/films/Annie_Hall,http://en.wikipedia.org/wiki/Annie_Hall
306,The Goodbye Girl,Ray Stark,"Metro-Goldwyn-Mayer, Warner Bros.",False,1977  (50th),1977,50,,0,http://oscars.yipitdata.com/films/The_Goodbye_Girl,http://en.wikipedia.org/wiki/The_Goodbye_Girl
307,Julia,(Richard Roth),20th Century Fox,False,1977  (50th),1977,50,$7.84 million [ 1 ],7840000,http://oscars.yipitdata.com/films/Julia_(1977_film),http://en.wikipedia.org/wiki/Julia_(1977_film)
308,Star Wars,Gary Kurtz,"Lucasfilm, 20th Century Fox",False,1977  (50th),1977,50,$11 million [ 3 ],11000000,http://oscars.yipitdata.com/films/Star_Wars_(film),http://en.wikipedia.org/wiki/Star_Wars_(film)
309,The Turning Point,"Herbert Ross , Arthur Laurents",20th Century Fox,False,1977  (50th),1977,50,,0,http://oscars.yipitdata.com/films/The_Turning_Point_(1977_film),http://en.wikipedia.org/wiki/The_Turning_Point_(1977_film)
310,The Deer Hunter,"Barry Spikings , Michael Deeley , Michael Cimino , John Peverall","Universal, EMI",True,1978  (51st),1978,51,$15 million [ 2 ],15000000,http://oscars.yipitdata.com/films/The_Deer_Hunter,http://en.wikipedia.org/wiki/The_Deer_Hunter
311,Coming Home,Jerome Hellman,United Artists,False,1978  (51st),1978,51,$3 million,3000000,http://oscars.yipitdata.com/films/Coming_Home_(1978_film),http://en.wikipedia.org/wiki/Coming_Home_(1978_film)
312,Heaven Can Wait,Warren Beatty,Paramount,False,1978  (51st),1978,51,$15 million [ 1 ],15000000,http://oscars.yipitdata.com/films/Heaven_Can_Wait_(1978_film),http://en.wikipedia.org/wiki/Heaven_Can_Wait_(1978_film)
313,Midnight Express,"Alan Marshall , David Puttnam",Columbia,False,1978  (51st),1978,51,$2.3 million,2300000,http://oscars.yipitdata.com/films/Midnight_Express_(film),http://en.wikipedia.org/wiki/Midnight_Express_(film)
314,An Unmarried Woman,"Paul Mazursky , Tony Ray","20th Century Fox, Casablanca Filmworks",False,1978  (51st),1978,51,"$2,515,000 [ 1 ]",2515000,http://oscars.yipitdata.com/films/An_Unmarried_Woman,http://en.wikipedia.org/wiki/An_Unmarried_Woman
315,Kramer vs. Kramer,Stanley R. Jaffe,Columbia,True,1979  (52nd),1979,52,$8 million [ 1 ],8000000,http://oscars.yipitdata.com/films/Kramer_vs._Kramer,http://en.wikipedia.org/wiki/Kramer_vs._Kramer
316,All That Jazz,Robert Alan Aurthur,"20th Century Fox, Columbia",False,1979  (52nd),1979,52,$12 million [ 2 ],12000000,http://oscars.yipitdata.com/films/All_That_Jazz_(film),http://en.wikipedia.org/wiki/All_That_Jazz_(film)
317,Apocalypse Now,"Francis Ford Coppola , Fred Roos , Gray Frederickson, Tom Sternberg","United Artists, Zoetrope",False,1979  (52nd),1979,52,$31.5 million [ 2 ],31500000,http://oscars.yipitdata.com/films/Apocalypse_Now,http://en.wikipedia.org/wiki/Apocalypse_Now
318,Breaking Away,Peter Yates,20th Century Fox,False,1979  (52nd),1979,52,$2.3 million [ 2 ],2300000,http://oscars.yipitdata.com/films/Breaking_Away,http://en.wikipedia.org/wiki/Breaking_Away
319,Norma Rae,"Tamara Asseyev , Alex Rose",20th Century Fox,False,1979  (52nd),1979,52,$4.5 million [ 2 ],4500000,http://oscars.yipitdata.com/films/Norma_Rae,http://en.wikipedia.org/wiki/Norma_Rae
320,Ordinary People,Ronald L. Schwary,Paramount,True,1980  (53rd),1980,53,$6 million,6000000,http://oscars.yipitdata.com/films/Ordinary_People,http://en.wikipedia.org/wiki/Ordinary_People
321,Coal Miner's Daughter,Bernard Schwartz,Universal,False,1980  (53rd),1980,53,$15 million [ 1 ],15000000,http://oscars.yipitdata.com/films/Coal_Miner%2527s_Daughter_(film),http://en.wikipedia.org/wiki/Coal_Miner%27s_Daughter_(film)
322,The Elephant Man,Jonathan Sanger,"Paramount, Brooksfilms",False,1980  (53rd),1980,53,$5 million,5000000,http://oscars.yipitdata.com/films/The_Elephant_Man_(film),http://en.wikipedia.org/wiki/The_Elephant_Man_(film)
323,Raging Bull,"Irwin Winkler , Robert Chartoff",United Artists,False,1980  (53rd),1980,53,$18 million [ 2 ],18000000,http://oscars.yipitdata.com/films/Raging_Bull,http://en.wikipedia.org/wiki/Raging_Bull
324,Tess,"Claude Berri , Timothy Burrill","Renn Productions, Timothy Burrill Productions",False,1980  (53rd),1980,53,$12 million (est.),12000000,http://oscars.yipitdata.com/films/Tess_(film),http://en.wikipedia.org/wiki/Tess_(film)
325,Chariots of Fire,David Puttnam,"Warner Bros., Enigma Film Productions",True,1981  (54th),1981,54,£3 million [ 1 ],4050000,http://oscars.yipitdata.com/films/Chariots_of_Fire,http://en.wikipedia.org/wiki/Chariots_of_Fire
326,Atlantic City,Denis Héroux,"Paramount, Cine-Neighbor, Selta Films",False,1981  (54th),1981,54,$7.2 million,7200000,http://oscars.yipitdata.com/films/Atlantic_City_(1980_film),http://en.wikipedia.org/wiki/Atlantic_City_(1980_film)
